runt_code,name
448,DONG FENG
449,TIXXON
450,ZNEN
451,EKA MOTORS
452,OROMOTO
453,FAW
454,SQ RACING
455,ZAHAV
456,YIBEN-YBFALCON
457,ITALIKA
458,AKITA
459,BIG
460,DAIFO
461,EAGLE CARGO
462,FUDEPAI
463,GONOW
464,GUZZI
465,IOTA
466,JIANG
467,JIN JIN
468,KYNLON
469,MOTO MORINI
470,NIKITA
471,REBELLIN
472,SHIJIAZHUANG
473,TALON
474,TELCOLINE
475,TX MOTORS
476,WORKMAN
477,WUZHENG
478,XINKAI
479,A.J.S
480,ACCESS
481,ACE
482,ACE MOTOR
483,ACM-ZHONG
484,ADDO
485,ALLAD
486,ALLIS CHALMERS
487,ALPS
488,AMM
489,AMW
490,AP PIAGGIO
491,APELCO GEN-MTO
492,ASTRA
493,BACCIO
494,BAODIAO
495,BARBER GREENE
496,BASHAN
497,BAUKEMA
498,BAW
499,BETA
500,BETTER
501,BIANCHI
502,BIMOTA
503,BLAW KNOX
504,BLUE STONE
505,BOBCAT
506,BODYWORK
507,BONSER
508,BOUSER
509,BRIDGE
510,BRONTO
511,BUCYRUS
512,BUGENI
513,CAMECO
514,CAN-AM
515,CAPACITY
516,CARIBE
517,CARTER BROTHERS
518,CASE
519,CATERPILLAR
520,CATFLYER
521,CHAMPION
522,CHANGLIN
523,CHARLY
524,CHARMING
525,CHINSU
526,CHONGQING ZONGSHEN
527,CHONGQUING YUAN
528,CICLONE USA
529,CLARCK
530,CLUB CAR
531,COLOMBIANA DE CHASISES
532,COMANDO
533,COMET
534,CONCORD
535,CROWN
536,CSEPEL-CUMMINS
537,CUSTOM CHROME
538,DAVID BROWN
539,DAYUN
540,DIAMOND
541,DIECI
542,DINAPAC
543,DOMINGUEZ
544,DRESSER
545,DUST
546,DYNACOLT
547,E.D. ETNYRE
548,EAGLE
549,EAGLE AMC
550,EASTMAN
551,EBTELECTRIC
552,ELECTRIC STAR ATV ENERGY
553,ELGIN
554,ENCAVA
555,ENERGY
556,ERNEST GRUBER
557,EUCLID
558,EVO
559,EXCELSIOR
560,EXPRESS
561,EZLIFE
562,FAILING
563,FAMY
564,FEDERAL
566,FENCHI
567,FIAT ALLIS
568,FIORI
569,FONA
570,FORMULA
571,FUTURE
572,FWD
573,FYM
574,GALION
575,GAZELLE
576,GENERAL
577,GHA-2
578,GOLDEN DRAGON
580,GRAM
581,GROVE
583,HARDLAND
584,HARMON
585,HELI
586,HERRAGRO
587,HILIGHT
588,HISTER
589,HITACHI
590,HUBER
591,HUMMER ZONGSHEN
592,HYSTER
593,INCALCU
594,INDIAN CHIEF
595,INGERSOLL RAND
596,INVICTUS MOTORS
597,JACKEL
598,JAINSHE
599,JAVELINI
600,JCB
601,JHON DEERE
602,JHONSTON
603,JIANG CHANGHE
604,JIANGLING
605,JIANGNAN GLOW
606,JIANGSU KINROAD XINTIAN
607,JIANGXI CAMPELL CO.
608,JINGLONG
609,JIRY SISU
611,KAISER
612,KALMAR
613,KAZUMA
614,KING LINFT
616,KITOMI
617,KOMATSU
618,KONCEO
619,KRAZ
620,KRUPP
621,LINCOLN
622,LITTLE GIANT
623,LIUGONG
624,LMX
625,LORAIN
626,MADVAC
627,MANCO
628,MARMON
629,MARUTI
630,MASEY FERGUSON
631,MATCHELSS
633,MC CORMICK
634,MERLO
635,META
636,MGB
637,MINI
638,MOTOBECAME
639,MV AGUSTA
640,NEW HOLLAN
641,NEW KING
642,NIMBUS
643,NON PLUS ULTRA
644,NUFFIELD
645,OAKLAND
646,OSHKOSH
647,P Y H
648,PARCE
649,PETTIBONE
650,PIAGGIO ZONGSHEN
651,POCLAIN
652,POWERMAX
653,QIANJIANG
654,RAMIREZ
655,RANGE ROVER
656,REVTECH
657,RLX
658,ROBUR
659,ROSCO
660,SAME
661,SANFENG
663,SAURON
664,SHANGHAI
665,SHINERAY
666,SINOTRUK HOWO
667,SKINGO
668,SKYMAX
669,SMC
670,STEYR DAIMLER PUCH
671,SUKIDA
672,SUM
673,SUNDIRO
674,TCM
675,TEREX
676,THUNDER CYCLE DESIGN
677,TONARO
678,TRIWIL
679,UNIMOG
680,UNIVERSAL
681,USA MOTORS
682,VALMET
683,VALTRA
684,VISAIL
685,VOGELE
686,WARZAWA
687,WESTERN STAR
688,WKT
689,XCMG
690,YALE
691,YAMASAKY
692,YIBEN
693,YONKANG XINGYUE
694,YUANDA
695,YUEJIN
696,YUMBO
697,ZEPHYR
698,ZETOR
699,ZHEJIANG HANGCHA
700,ZHENG LI
701,ZID
702,ZIGMA
703,ZIP STAR
704,ZODIAC
705,ZUNK
708,CARBONER
709,BUGGY
711,RHINO
712,BELL
713,FURUKAWA
714,ISEKI
715,KATO
716,KOBELCO
717,LEE BOY
718,LINK BELT
719,MARINI
720,MATBRO
722,PANZER
724,PINZ GAUER
725,PIQUERSA
726,TADANO
727,CCITTA REBEL
728,DELKRON
729,DESTA
730,JINBEI
731,JINGPIN
732,KAELBLE
733,L.R.
734,LIMA
735,MOBILIFT
736,OSSA
737,PHW
738,STAVOSTROJ
739,TCUMSON
740,TENNAN
741,TOWMOTOR
742,VERKHOVINA
743,VOSJOB
744,HORNET
745,ZUNDAPP
746,CZ
747,DANUVIA
748,CEZET
749,GO KART
750,MASERATI
751,AC
752,AG
753,ALFARO
754,ALVIS
755,AMPHICAR
756,AMPLE
757,APOLLO
758,ARABELLA
759,ASPT
760,AUTOKRAFT
761,AYCO ZONGSHEN
762,BAIKANCAR
763,BAKER
764,BANTAM
765,BENELLI
766,BOSA BOSHIE NIKE
767,BRAND
768,BRISA
769,C.C.C.
770,CAMC
771,CENTAURS
772,CHINA MOTORCYCLES
773,CHITUMA
774,CLAUSSON
775,COLT LANCER
776,CONSUL
777,CROSLEY
778,CRUISERN
779,DACC
780,DAF
781,DAIMLER BENZ
782,DASHA
783,DE LA HAYE
784,DEMAG
785,DIVICO
786,DTV
787,ECO CITI
788,EL SOL
789,ELEPHANT POWER
790,EM
791,EP
792,E-TON
793,EZGO
794,F.N
795,FANTIC
796,FARSPEED
797,FIBRAVAN
798,FLEXIBLE
799,FRAZER
800,FULDAMOBIL
801,GERLING
802,GOGOMOVIL
803,GRAHAN PAUGE
804,GRANE CARRIER
805,GREMLIN
806,GRUBER
807,HALLA
808,HAOJUE
809,HESTIA
810,HOSIN SOPORTER
811,HUAWIN
812,HUPMOBILE
813,HUSABERG
814,I.M.V
815,IKARUS
816,ISLO
817,JIN JIAN
818,JUMBO DE LLANTAS
819,JUNGHEINRICH
820,KANABIS
821,KARPETAN
822,KOMAR
823,KONTIO SISO
824,KROSON SOPORTES
825,L.A.I
826,LEE SCUSTÓN COACHES
827,LEY LAND
828,LIANMEI MOTOR
829,LIBA MOTOR
830,LINDE
831,LINGBEN
832,M.G.U
833,MARCHETTI
834,MARQUASS
835,MASTER CRAFTß
836,MAXWELL
837,MAYFLOWER
838,MAZAKI
839,MG MIDGET
840,MNHCK
841,MOBYLESTTE
842,MONIKA
843,MOTOCARRIER
844,MUDAN
845,MUHCK
846,N.S.U
847,NEUTRAL
848,NEW HYSTER
849,NYK
850,ORANGE COUNTY CHOPPERS
851,ORION
852,PASSO
853,PEXMA
854,PLANETA
855,POWER WAGON
856,PREFECT
857,RABBIT
858,REVA
859,ROSENBAUER
860,SAAB
861,SANDI
862,SANGLIN
863,SAURER
864,SCAMMELL
865,SEAGRAVE
866,SERVAL
867,SHANGLI
868,SHANYANG
869,SHERPA
870,SHUANGHUAN
871,SHUANGSHI
872,SKYTEAM
873,SOLARI
874,SONIKA
875,SONZINI
876,SOYAT
877,SP@ZZIO
878,SRFHUAIGE
879,SST
880,STEINBOCK
881,STIRES VM
882,SUMO
883,SUNASA QINGQI
884,SUPERMOTO
885,TALBOT
886,TANTA
887,TATRA
888,TEMPO
889,TGA-200-G
890,TMD
891,TONGYU
892,TOYOPET
893,TULA
894,UFO
895,VALIANT
896,VALKYRIE
897,VANGUARD
898,VOGUE
899,VONROAD
900,WAGONNER
901,WAJAX
902,WINCHEMG
903,WLLHELMSHAVEN
904,WORD LA FRANCE
905,WORLDSTAR
906,WSK
907,XINGLING
908,XINLING
909,XINTIAN KINROAD
910,XSG ING QIJITUA
911,YLM
912,ZENA
913,ZHAN
914,ZHONGNENG
915,ZHONGYU
916,ZIU
917,ZQ MOTORS
918,ZUK
919,ZUK NYSA
920,ALL STATE
921,ALLARD
922,HONGXING NOBLE
923,CIXI KONCEO
924,HAOJIANG
925,PRATOO Y FORNE
926,REGAL RAPTOR
927,WEST WARRIOR
928,AEOLUS
929,AUTO BIANCHI
930,BAW ZHAN QI
931,FODEN
932,IFG
933,JINLING
934,LLOYD
935,LUAZ
936,PANDA CHUNZOHN
937,PAZ
938,ROCAR
939,ROMAN
940,SCOUTY
941,SKANIA VABIF
942,SSANGYANG
943,STAR
944,STUTZ
945,T.J.C.
946,TANDEM
947,TONGBAO
948,TRADER
949,UNDERBONE
950,VEDETTE
951,VOSHUD
952,YITAKI
953,ZHONGHUA
954,STERLING
955,THOMAS
956,BOMAG
957,SANY
958,AUTECO BAJAJ
959,AUTECO KYMCO
960,DRESSER HAULPAK
961,MAZ
962,MOXI
963,PERLINI
964,HOREX
965,LIEBHERR
966,FIVER
967,YUTONG
968,WANHU
